,total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition
0,20,13000000.0,108.0,2019-03-07T00:00:00,3,2.7,16.0,51.0,8,,False,False,25.0,,Санкт-Петербург,18863.0,16028.0,1.0,482.0,2.0,755.0,
1,7,3350000.0,40.4,2018-12-04T00:00:00,1,,11.0,18.6,1,,False,False,11.0,2.0,посёлок Шушары,12817.0,18603.0,0.0,,0.0,,81.0
2,10,5196000.0,56.0,2015-08-20T00:00:00,2,,5.0,34.3,4,,False,False,8.3,0.0,Санкт-Петербург,21741.0,13933.0,1.0,90.0,2.0,574.0,558.0
3,0,64900000.0,159.0,2015-07-24T00:00:00,3,,14.0,,9,,False,False,,0.0,Санкт-Петербург,28098.0,6800.0,2.0,84.0,3.0,234.0,424.0
4,2,10000000.0,100.0,2018-06-19T00:00:00,2,3.03,14.0,32.0,13,,False,False,41.0,,Санкт-Петербург,31856.0,8098.0,2.0,112.0,1.0,48.0,121.0
5,10,2890000.0,30.4,2018-09-10T00:00:00,1,,12.0,14.4,5,,False,False,9.1,,городской посёлок Янино-1,,,,,,,55.0
6,6,3700000.0,37.3,2017-11-02T00:00:00,1,,26.0,10.6,6,,False,False,14.4,1.0,посёлок Парголово,52996.0,19143.0,0.0,,0.0,,155.0
7,5,7915000.0,71.6,2019-04-18T00:00:00,2,,24.0,,22,,False,False,18.9,2.0,Санкт-Петербург,23982.0,11634.0,0.0,,0.0,,
8,20,2900000.0,33.16,2018-05-23T00:00:00,1,,27.0,15.43,26,,False,False,8.81,,посёлок Мурино,,,,,,,189.00000000000003
9,18,5400000.0,61.0,2017-02-26T00:00:00,3,2.5,9.0,43.6,7,,False,False,6.5,2.0,Санкт-Петербург,50898.0,15008.0,0.0,,0.0,,289.0
10,5,5050000.0,39.6,2017-11-16T00:00:00,1,2.67,12.0,20.3,3,,False,False,8.5,,Санкт-Петербург,38357.0,13878.0,1.0,310.0,2.0,553.0,137.0
11,9,3300000.0,44.0,2018-08-27T00:00:00,2,,5.0,31.0,4,False,False,False,6.0,1.0,Ломоносов,48252.0,51677.0,0.0,,0.0,,7.0
12,10,3890000.0,54.0,2016-06-30T00:00:00,2,,5.0,30.0,5,,False,False,9.0,0.0,Сертолово,,,,,,,90.00000000000001
13,20,3550000.0,42.8,2017-07-01T00:00:00,2,2.56,5.0,27.0,5,,False,False,5.2,1.0,Петергоф,37868.0,33058.0,1.0,294.0,3.0,298.0,366.00000000000006
14,1,4400000.0,36.0,2016-06-23T00:00:00,1,,6.0,17.0,1,,False,False,8.0,0.0,Пушкин,20782.0,30759.0,0.0,,1.0,96.0,203.0
15,16,4650000.0,39.0,2017-11-18T00:00:00,1,,14.0,20.5,5,,False,False,7.6,1.0,Санкт-Петербург,12900.0,14259.0,1.0,590.0,1.0,296.0,19.0
16,11,6700000.0,82.0,2017-11-23T00:00:00,3,3.05,5.0,55.6,1,,False,False,9.0,,Санкт-Петербург,22108.0,10698.0,3.0,420.0,0.0,,397.0
17,6,4180000.0,36.0,2016-09-09T00:00:00,1,,17.0,16.5,7,,False,False,11.0,1.0,Санкт-Петербург,33564.0,14616.0,0.0,,1.0,859.0,571.0
18,8,3250000.0,31.0,2017-01-27T00:00:00,1,2.5,5.0,19.4,2,,False,False,5.6,1.0,Санкт-Петербург,44060.0,10842.0,1.0,759.0,0.0,,168.0
19,16,14200000.0,121.0,2019-01-09T00:00:00,3,2.75,16.0,76.0,8,,False,False,12.0,,Санкт-Петербург,38900.0,12843.0,0.0,,0.0,,97.0
20,12,6120000.0,80.0,2017-09-28T00:00:00,3,2.7,27.0,48.0,11,,False,False,12.0,2.0,посёлок Парголово,53134.0,19311.0,0.0,,0.0,,74.0
21,13,3200000.0,31.6,2018-03-14T00:00:00,1,,5.0,16.9,2,,False,False,5.7,1.0,Санкт-Петербург,36064.0,9722.0,1.0,248.0,0.0,,310.0
22,20,5000000.0,58.0,2017-04-24T00:00:00,2,2.75,25.0,30.0,15,,False,False,11.0,2.0,деревня Кудрово,,,,,,,60.0
23,11,2950000.0,32.0,2016-10-29T00:00:00,1,2.6,9.0,17.7,9,,False,False,6.1,,Санкт-Петербург,15414.0,14211.0,2.0,517.0,1.0,190.0,615.0
24,8,6500000.0,97.2,2015-10-31T00:00:00,2,,3.0,46.5,1,,False,False,19.6,0.0,Санкт-Петербург,20052.0,2336.0,3.0,411.0,3.0,124.0,265.0
25,3,6800000.0,76.0,2015-10-01T00:00:00,2,2.75,23.0,39.0,18,False,False,False,15.0,2.0,Санкт-Петербург,34967.0,14640.0,0.0,,1.0,564.0,300.0
26,6,4050000.0,60.0,2017-04-28T00:00:00,4,,5.0,43.0,4,,False,False,7.0,,Санкт-Петербург,11580.0,10510.0,0.0,,1.0,95.0,265.0
27,20,7100000.0,70.0,2017-05-12T00:00:00,3,2.6,17.0,49.0,11,,False,False,9.2,0.0,Санкт-Петербург,29197.0,11456.0,2.0,452.0,1.0,779.0,151.0
28,8,4170000.0,44.0,2017-12-13T00:00:00,1,2.9,6.0,20.8,1,,False,False,11.7,1.0,Пушкин,18557.0,30710.0,0.0,,1.0,118.0,74.0
29,9,8600000.0,100.0,2016-04-09T00:00:00,3,,19.0,52.0,15,False,False,False,11.0,0.0,Санкт-Петербург,30394.0,11526.0,1.0,532.0,1.0,896.0,125.0
30,12,2200000.0,32.8,2018-02-19T00:00:00,1,,9.0,,2,,False,False,,,Коммунар,,,,,,,63.0
31,8,7200000.0,67.9,2017-10-26T00:00:00,2,2.8,16.0,38.1,4,,False,False,13.4,2.0,Санкт-Петербург,32888.0,12944.0,0.0,,0.0,,112.0
32,7,4990000.0,60.0,2016-05-22T00:00:00,3,,5.0,39.0,4,,False,False,6.0,0.0,Санкт-Петербург,11349.0,12889.0,0.0,,1.0,426.0,224.0
33,8,4800000.0,73.0,2018-10-15T00:00:00,4,,9.0,51.6,5,,False,False,6.5,,Колпино,26535.0,32321.0,0.0,,0.0,,92.0
34,3,3290000.0,33.0,2018-02-04T00:00:00,1,2.55,16.0,14.0,3,,False,False,8.0,,Санкт-Петербург,13943.0,12739.0,0.0,,0.0,,15.0
35,6,15500000.0,149.0,2017-06-26T00:00:00,5,,5.0,104.0,4,,False,False,17.0,,Санкт-Петербург,23670.0,3502.0,0.0,,1.0,779.0,644.0
36,13,3790000.0,45.0,2017-01-25T00:00:00,2,,9.0,27.0,9,False,False,False,6.3,2.0,Санкт-Петербург,49574.0,16461.0,1.0,459.0,0.0,,139.0
37,10,1990000.0,45.8,2017-10-28T00:00:00,2,2.5,5.0,,1,,False,False,,,поселок городского типа Красный Бор,,,,,,,196.0
38,10,3150000.0,40.0,2018-03-29T00:00:00,1,2.75,18.0,16.3,9,,False,False,11.6,,посёлок Мурино,,,,,,,103.0
39,15,5200000.0,54.4,2018-11-29T00:00:00,2,2.75,9.0,29.7,2,,False,False,8.8,2.0,Санкт-Петербург,13413.0,12209.0,0.0,,1.0,1175.0,29.0
40,9,3590000.0,36.0,2017-03-15T00:00:00,1,2.6,26.0,15.0,22,,False,False,10.0,2.0,посёлок Парголово,52996.0,19143.0,0.0,,0.0,,430.0
41,16,7900000.0,74.0,2016-05-04T00:00:00,3,,14.0,59.0,8,False,False,False,12.0,5.0,Санкт-Петербург,37715.0,12612.0,1.0,725.0,1.0,759.0,179.00000000000003
42,13,22000000.0,161.8,2015-07-08T00:00:00,4,2.8,4.0,80.9,2,False,False,False,17.6,5.0,Петергоф,35416.0,30605.0,2.0,47.0,1.0,907.0,987.0
43,13,9330000.0,48.0,2017-01-10T00:00:00,2,3.0,4.0,28.0,4,,False,False,7.5,,Санкт-Петербург,15016.0,10822.0,0.0,,1.0,492.0,763.0000000000001
44,13,5350000.0,40.0,2018-11-18T00:00:00,1,,22.0,,3,,False,False,,1.0,Санкт-Петербург,30471.0,11603.0,1.0,620.0,1.0,1152.0,
45,17,5200000.0,50.6,2018-12-02T00:00:00,2,2.65,9.0,30.3,7,,False,False,7.0,,Санкт-Петербург,30011.0,12872.0,0.0,,0.0,,
46,17,6600000.0,52.1,2019-01-31T00:00:00,2,2.6,24.0,29.7,9,,False,False,8.3,2.0,Санкт-Петербург,15114.0,12702.0,0.0,,0.0,,
